Date,measurement,measurement_units,code_number,time_series_code,Code,Description,Frequency,Start Date,End Date,Type Description,number_of_ts,timeseries_position,category,sub_category
1962/05,244,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/06,249,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/07,252,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/08,254,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/09,262,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/10,256,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/11,262,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1962/12,276,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1963/01,257,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1963/02,258,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1963/03,263,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1963/04,262,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1963/05,264,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1963/06,269,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1963/07,271,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
1963/08,275,R_millions,1000,KBP1000M,KBP1000,South African Reserve Bank liabilities: Notes and coin in circulation,Monthly,1960/01,2017/06,",",2,2,South African Reserve Bank liabilities, Notes and coin in circulation
