,Gold and Foreign Exchange Position ,,,,,,,,,,,,
,,,,,,,,,,,,,
,(TIME SERIES),,,,,,,,,,,,
,This time series represents the Gold and Foreign Exchange Position over a period of time published by the South African Reserve Bank and updated at the end of each month.,,,,,,,,,,,,
,Month-,Gold,Foreign,Gross,Foreign ,Gold,Foreign,Gross,Foreign ,Other,Forward,International,Exchange
,end,Reserves 1,Exchange,Reserves,Loans,Reserves 2,Exchange,Reserves,Loans,,Position,Liquidity,Rate
,,,Reserves,,Received,,Reserves,,Received,,,Position/,
,,,,,,,,,,,,Net Reserves,
,,R'Million,R'Million,R'Million,R'Million,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,Rand\USD
,,-1,-2,(1+2),-3,-4,-5,(4+5),-6,-7,-8,(4+5+6+7+8),
 ,2005-10-31, 12 593 , 119 100 , 131 694 , (23 349), -   , 17 790 , 17 790 , (3 488), 1 901 ,15, 16 219 ,6.695
 ,2005-11-30, 12 781 , 116 368 , 129 149 , (22 655), -   , 17 958 , 17 958 , (3 496), 1 950 ,76, 16 488 ,6.48
 ,2005-12-31, 12 970 , 117 495 , 130 466 , (22 080), -   , 18 576 , 18 576 , (3 491), 2 074 ,27, 17 186 ,6.325
,,,,,,,,,,,,,
 ,2006-01-31, 13 880 , 121 058 , 134 938 , (21 309), -   , 19 862 , 19 862 , (3 496), 2 304 ,28, 18 698 ,6.095
 ,2006-02-28, 13 710 , 124 781 , 138 491 , (21 599), -   , 20 207 , 20 207 , (3 498), 2 247 ,26, 18 982 ,6.175
 ,2006-03-31, 14 504 , 127 848 , 142 352 , (21 740), -   , 20 604 , 20 604 , (3 504), 2 364 ,34, 19 499 ,6.205
 ,2006-04-28, 15 693 , 129 930 , 145 623 , (21 487), -   , 21 247 , 21 247 , (3 514), 2 302 ,43, 20 078 ,6.115
 ,2006-05-31, 17 392 , 142 455 , 159 846 , (23 195), -   , 21 455 , 21 455 , (3 493), 2 350 ,48, 20 361 ,6.64
 ,2006-06-30, 17 344 , 154 199 , 171 543 , (25 217), -   , 21 507 , 21 507 , (3 517), 2 148 ,46, 20 185 ,7.17
 ,2006-07-31, 17 437 , 148 504 , 165 941 , (24 072), -   , 21 601 , 21 601 , (3 501), 2 267 ,79, 20 447 ,6.875
 ,2006-08-31, 17 789 , 156 046 , 173 835 , (23 161), 2 499 , 21 916 , 24 415 , (3 253),-268,52, 20 946 ,7.12
 ,2006-09-30, 18 629 , 172 590 , 191 218 , (25 155), 2 400 , 22 226 , 24 626 , (3 240),-270,58, 21 174 ,7.765
 ,2006-10-31, 17 908 , 164 793 , 182 701 , (24 169), 2 404 , 22 119 , 24 523 , (3 244),26,103, 21 408 ,7.45
 ,2006-11-30, 18 501 , 162 836 , 181 337 , (21 747), 2 552 , 22 461 , 25 013 , (3 000),25,132, 22 171 ,7.25
 ,2006-12-31, 17 634 , 160 683 , 178 317 , (19 190), 2 530 , 23 054 , 25 584 , (2 754),29,129, 22 988 ,6.97
,,,,,,,,,,,,,
 ,2007-01-31, 18 690 , 169 006 , 187 696 , (19 597), 2 574 , 23 280 , 25 854 , (2 699),27,97, 23 280 ,7.26
 ,2007-02-28, 19 531 , 171 640 , 191 170 , (19 539), 2 688 , 23 626 , 26 314 , (2 690),29,83, 23 736 ,7.265
 ,2007-03-31, 19 224 , 173 485 , 192 709 , (19 584), 2 642 , 23 847 , 26 489 , (2 692),29,144, 23 970 ,7.275
 ,2007-04-30, 19 184 , 171 506 , 190 690 , (17 601), 2 715 , 24 276 , 26 991 , (2 492),31,63, 24 593 ,7.065
 ,2007-05-31, 18 729 , 179 374 , 198 103 , (17 751), 2 630 , 25 193 , 27 823 , (2 494),32,122, 25 483 ,7.12
 ,2007-06-30, 18 333 , 181 227 , 199 560 , (17 694), 2 595 , 25 651 , 28 246 , (2 505),33,167, 25 941 ,7.065
 ,2007-07-31, 18 902 , 188 841 , 207 743 , (17 746), 2 666 , 26 634 , 29 300 , (2 503),34,134, 26 965 ,7.09
 ,2007-08-31, 19 186 , 193 451 , 212 637 , (17 859), 2 689 , 27 112 , 29 801 , (2 504),35,117, 27 449 ,7.135
